property_name,SBA,avg_price,lat,long
Wave by Raghava,1795.0,1.295,17.4632,78.2865
Sri Krishna County,1135.0,0.5675,17.5171,78.3157
Om Sree Sky Park,2025.0,1.56,17.5366,78.4845
Om Sree Sky Park,2725.0,2.105,17.5366,78.4845
Aparna Synergy,1251.0,0.77,17.5671,78.4773
Aparna Synergy,1880.0,1.15715,17.5671,78.4773
Levonor Egeira,2105.0,1.3144,,78.491684
Reliance Courtyard,1265.0,0.5325,17.4035,
Om Sree Gallaxy,1285.0,0.92,17.5366,78.4845
Om Sree Gallaxy,1835.0,1.31,17.5366,78.4845
Sri Saikrishna Prime,2075.0,1.87,17.47,78.3534
Arkala Life,1340.0,0.603,,78.491684
Arkala Life,1696.0,0.55,,78.491684
Divine Space,1230.0,0.8240000000000001,17.4632,78.2865
