property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
Trishala Trilok,TRISHALA INFRASTRUCTURE PRIVATE LIMITEDBuilder,22,7.43,4,Apartment,Super Built-up Area,3650,(292.64 - 385.55 sq.m.),2.56,25,539,10.689,5,76%,"Rajendra nagar,hyderabad"
Cybercity Oriana,Cybercity Builders And Developers Pvt LtdBuilder,23,5.23,2,Apartment,Super Built-up Area,647,(116.17 sq.m.),1.06,27,825,6.74,3,,"Hi Tech city,hyderabad"
Cybercity Oriana,Cybercity Builders And Developers Pvt LtdBuilder,23,5.23,3,Apartment,Super Built-up Area,1930,(137.5 - 221.11 sq.m.),1.64,27,825,6.74,3,,"Hi Tech city,hyderabad"
SN Enclave,S N KOTA INFRABuilder,17,,2,Apartment,Super Built-up Area,1122,(104.24 sq.m.),0.5473,5,10,0.09,1,,"suchitra,hyderabad"
SN Enclave,S N KOTA INFRABuilder,17,,3,Apartment,Super Built-up Area,1409,(130.9 sq.m.),0.6873,5,10,0.09,1,,"suchitra,hyderabad"
Candeur Twins,CANDEUR DEVELOPERS & BUILDERSBuilder,18,6.175,3,Apartment,Super Built-up Area,917.5,(147.73 - 191.38 sq.m.),1.39,46,742,3.62,2,40%,"miyapur,hyderabad"
Indis Viva City,MagicPropDealer,18,5.515384615,2,Apartment,Super Built-up Area,1412,(127.0 - 135.36 sq.m.),1.215,22,1000,7.93,4,,"kondapur,hyderabad"
Indis Viva City,MagicPropDealer,18,5.515384615,3,Apartment,Super Built-up Area,2259,(178.47 - 241.27 sq.m.),1.94,22,1000,7.93,4,,"kondapur,hyderabad"
The Vue Residences,RAGHURAM PRADEEP CONSTRUCTIONS (INDIA) LLPBuilder,18,8.484615385,3,Apartment,Super Built-up Area,1995,(139.35 - 231.33 sq.m.),1.745,36,1084,9.817086611,7,,"puppalaguda,hyderabad"
The Vue Residences,RAGHURAM PRADEEP CONSTRUCTIONS (INDIA) LLPBuilder,18,8.484615385,4,Apartment,Super Built-up Area,3742.5,(326.09 - 369.29 sq.m.),3.65,36,1084,9.817086611,7,,"puppalaguda,hyderabad"
KSR Greens,KSR HOMESBuilder,16,8.1,3,Apartment,Super Built-up Area,1750,(148.64 - 176.52 sq.m.),1.42,30,476,3.15,2,79%,"miyapur,hyderabad"
Vazhraa Prathik,VAZHRAA NIRMAAN PRIVATE LIMITEDBuilder,19,12.525,2,Apartment,Super Built-up Area,1307.5,(116.59 - 126.35 sq.m.),0.9545,14,399,7.42,3,,"nizampet,hyderabad"
Vazhraa Prathik,VAZHRAA NIRMAAN PRIVATE LIMITEDBuilder,19,12.525,3,Apartment,Super Built-up Area,1790,(158.86 - 173.73 sq.m.),1.31,14,399,7.42,3,,"nizampet,hyderabad"
Aspire Spaces Ameya,ASPIRE SPACES PRIVATE LIMITEDBuilder,20,8.183333333,2,Apartment,Super Built-up Area,1270,(112.41 - 123.56 sq.m.),0.8,13,1066,10.0042294,9,,"miyapur,hyderabad"
